id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
38,294,1,math,"Numbers to 10,000",grade 3,,Beginner,Number Sense,4,"""2026-05-21T10:19:22.389Z""",active,"""2026-05-21T10:15:46.207Z""","""2026-05-21T10:19:22.389Z"""
39,295,1,math,Addition & Subtraction,grade 3,,Intermediate,Addition & Subtraction,5,"""2026-05-21T10:19:22.433Z""",active,"""2026-05-21T10:15:46.242Z""","""2026-05-21T10:19:22.433Z"""
40,296,1,math,Multiplication & Division,grade 3,,Elementary,Multiplication & Division,7,"""2026-05-21T10:19:22.481Z""",active,"""2026-05-21T10:15:46.433Z""","""2026-05-21T10:19:22.482Z"""
41,297,1,math,Introduction to Fractions,grade 3,,Beginner,Fractions,6,"""2026-05-21T10:19:22.517Z""",active,"""2026-05-21T10:15:46.471Z""","""2026-05-21T10:19:22.518Z"""
42,298,1,math,Time & Elapsed Time,grade 3,,Intermediate,Time,3,"""2026-05-21T10:19:22.607Z""",active,"""2026-05-21T10:15:46.519Z""","""2026-05-21T10:19:22.608Z"""
43,299,1,math,"Lines, Angles & Polygons",grade 3,,Beginner,Geometry,4,"""2026-05-21T10:19:22.645Z""",active,"""2026-05-21T10:15:46.551Z""","""2026-05-21T10:19:22.645Z"""
44,300,1,math,Measurement & Conversion,grade 3,,Beginner,Measurement,4,"""2026-05-21T10:19:22.682Z""",active,"""2026-05-21T10:15:46.581Z""","""2026-05-21T10:19:22.683Z"""
45,301,1,math,Data & Scaled Graphs,grade 3,,Intermediate,Data & Statistics,3,"""2026-05-21T10:19:22.716Z""",active,"""2026-05-21T10:15:46.622Z""","""2026-05-21T10:19:22.716Z"""
46,302,1,math,Money & Problem Solving,grade 3,,Beginner,Financial Literacy,3,"""2026-05-21T10:19:22.752Z""",active,"""2026-05-21T10:15:46.660Z""","""2026-05-21T10:19:22.753Z"""
47,303,1,math,Large Numbers & Place Value,grade 4,,Intermediate,Place Value,5,"""2026-05-21T10:19:22.788Z""",active,"""2026-05-21T10:15:46.701Z""","""2026-05-21T10:19:22.788Z"""
48,304,1,math,Arithmetic Operations,grade 4,,Intermediate,Number Operations,5,"""2026-05-21T10:19:22.907Z""",active,"""2026-05-21T10:15:46.735Z""","""2026-05-21T10:19:22.907Z"""
49,305,1,math,"Factors, Multiples & Primes",grade 4,,Beginner,Number Theory,4,"""2026-05-21T10:19:22.946Z""",active,"""2026-05-21T10:15:46.776Z""","""2026-05-21T10:19:22.946Z"""
50,306,1,math,Fractions,grade 4,,Elementary,Fractions,7,"""2026-05-21T10:19:22.992Z""",active,"""2026-05-21T10:15:46.921Z""","""2026-05-21T10:19:22.992Z"""
51,307,1,math,Introduction to Decimals,grade 4,,Beginner,Decimals,5,"""2026-05-21T10:19:23.043Z""",active,"""2026-05-21T10:15:46.990Z""","""2026-05-21T10:19:23.044Z"""
52,308,1,math,Time Problem Solving,grade 4,,Advanced,Time,3,"""2026-05-21T10:19:23.078Z""",active,"""2026-05-21T10:15:47.024Z""","""2026-05-21T10:19:23.078Z"""
53,309,1,math,Lines & Angles,grade 4,,Elementary,Geometry,4,"""2026-05-21T10:19:23.112Z""",active,"""2026-05-21T10:15:47.060Z""","""2026-05-21T10:19:23.112Z"""
54,310,1,math,Measurement & Conversion,grade 4,,Elementary,Measurement,4,"""2026-05-21T10:19:23.198Z""",active,"""2026-05-21T10:15:47.092Z""","""2026-05-21T10:19:23.199Z"""
55,311,1,math,Data Display & Interpretation,grade 4,,Advanced,Data & Statistics,3,"""2026-05-21T10:19:23.242Z""",active,"""2026-05-21T10:15:47.146Z""","""2026-05-21T10:19:23.242Z"""
56,312,1,math,Financial Problem Solving,grade 4,,Elementary,Financial Literacy,3,"""2026-05-21T10:19:23.287Z""",active,"""2026-05-21T10:15:47.190Z""","""2026-05-21T10:19:23.288Z"""
57,313,1,math,Number Sense & Operations,grade 5,,Advanced,Number Sense,4,"""2026-05-21T10:19:23.435Z""",active,"""2026-05-21T10:15:47.243Z""","""2026-05-21T10:19:23.435Z"""
58,314,1,math,Multi-Digit Operations,grade 5,,Intermediate,Multiplication & Division,6,"""2026-05-21T10:19:23.527Z""",active,"""2026-05-21T10:15:47.279Z""","""2026-05-21T10:19:23.527Z"""
59,315,1,math,"Factors, Multiples & Primes",grade 5,,Elementary,Number Theory,4,"""2026-05-21T10:19:23.620Z""",active,"""2026-05-21T10:15:47.433Z""","""2026-05-21T10:19:23.620Z"""
60,316,1,math,Fraction Arithmetic,grade 5,,Intermediate,Fractions,7,"""2026-05-21T10:19:23.669Z""",active,"""2026-05-21T10:15:47.469Z""","""2026-05-21T10:19:23.669Z"""
61,317,1,math,Decimal Arithmetic,grade 5,,Elementary,Decimals,6,"""2026-05-21T10:19:23.732Z""",active,"""2026-05-21T10:15:47.505Z""","""2026-05-21T10:19:23.732Z"""
62,318,1,math,Percentages & Ratios,grade 5,,Beginner,Ratios & Percentages,5,"""2026-05-21T10:19:23.827Z""",active,"""2026-05-21T10:15:47.552Z""","""2026-05-21T10:19:23.827Z"""
